__v,_id,name,region
0,612c930318129657973efee6,Ahmar,612c930318129657973efe73
0,612c930318129657973efee7,Bogale,612c930318129657973efe73
0,612c930318129657973efee8,Dedaye,612c930318129657973efe73
0,612c930318129657973efee9,Kyaiklat,612c930318129657973efe73
0,612c930318129657973efeea,Pyapon,612c930318129657973efe73
0,612c930318129657973eff0e,Aungmyin,612c930318129657973efeeb
0,612c930318129657973eff0f,Bago,612c930318129657973efeeb
0,612c930318129657973eff10,Daik-U,612c930318129657973efeeb
0,612c930318129657973eff11,Hpayargyi,612c930318129657973efeeb
0,612c930318129657973eff12,Intagaw,612c930318129657973efeeb
0,612c930318129657973eff13,Kawa,612c930318129657973efeeb
0,612c930318129657973eff14,Kyauktaga,612c930318129657973efeeb
0,612c930318129657973eff15,Madauk,612c930318129657973efeeb
0,612c930318129657973eff16,Nyaunglebin,612c930318129657973efeeb
0,612c930318129657973eff17,Peinzalot,612c930318129657973efeeb
0,612c930318129657973eff18,Penwegon,612c930318129657973efeeb
0,612c930318129657973eff19,Pyuntaza,612c930318129657973efeeb
0,612c930318129657973eff1a,Shwegyin,612c930318129657973efeeb
0,612c930318129657973eff1b,Thanatpin,612c930318129657973efeeb
0,612c930318129657973eff1c,Waw,612c930318129657973efeeb
0,612c930318129657973eff1d,Kanyutkwin,612c930318129657973efeeb
0,612c930318129657973eff1e,Kaytumadi,612c930318129657973efeeb
0,612c930318129657973eff1f,Kyaukkyi,612c930318129657973efeeb
0,612c930318129657973eff20,Kywebwe,612c930318129657973efeeb
0,612c930318129657973eff21,Mone,612c930318129657973efeeb
0,612c930318129657973eff22,Myohla,612c930318129657973efeeb
0,612c930318129657973eff23,Natthangwin,612c930318129657973efeeb
0,612c930318129657973eff24,Nyaungbinthar,612c930318129657973efeeb
0,612c930318129657973eff25,Oktwin,612c930318129657973efeeb
0,612c930318129657973eff26,Pyu,612c930318129657973efeeb
0,612c930318129657973eff27,Swa,612c930318129657973efeeb
0,612c930318129657973eff28,Tantabin,612c930318129657973efeeb
0,612c930318129657973eff29,Taungoo,612c930318129657973efeeb
0,612c930318129657973eff2a,Thagara,612c930318129657973efeeb
0,612c930318129657973eff2b,Yaeni,612c930318129657973efeeb
0,612c930318129657973eff2c,Yedashe,612c930318129657973efeeb
0,612c930318129657973eff2d,Innma,612c930318129657973efeeb
0,612c930318129657973eff2e,Okshipin,612c930318129657973efeeb
0,612c930318129657973eff2f,Padaung,612c930318129657973efeeb
0,612c930318129657973eff30,Padigone,612c930318129657973efeeb
0,612c930318129657973eff31,Paukkaung,612c930318129657973efeeb
0,612c930318129657973eff32,Paungdale,612c930318129657973efeeb
0,612c930318129657973eff33,Paungde,612c930318129657973efeeb
0,612c930318129657973eff34,Pyay,612c930318129657973efeeb
0,612c930318129657973eff35,Shwedaung,612c930318129657973efeeb
0,612c930318129657973eff36,Sinmeswe,612c930318129657973efeeb
0,612c930318129657973eff37,Thegon,612c930318129657973efeeb
0,612c930318129657973eff38,Gyobingauk,612c930318129657973efeeb
0,612c930318129657973eff39,Letpadan,612c930318129657973efeeb
0,612c930318129657973eff3a,Minhla,612c930318129657973efeeb
